model,utt_idx,obs_idx,p_low,p_info,p_high,highlight_info_gt_low_plus_high,utt_label,obs_label,info_margin,high_margin,low_margin,condition
average,27,7,0.2589054350949582,0.6085293183400788,0.1325652465480138,True,all / some / wrong,[3 3 3 3 3],0.2170586366971068,-0.7348695068870232,-0.48218912979313444,info
average,26,3,0.1325652465480138,0.6085293183400788,0.2589054350949582,True,all / some / right,[9 9 9 9 9],0.2170586366971068,-0.48218912979313444,-0.7348695068870232,info
average,12,3,0.2704840421493454,0.587581624520804,0.1419343333022328,True,some / most / right,[9 9 9 9 9],0.17516324906922576,-0.7161313333679166,-0.4590319156736914,info
average,13,7,0.1419343333022328,0.587581624520804,0.2704840421493454,True,some / most / wrong,[3 3 3 3 3],0.17516324906922576,-0.4590319156736914,-0.7161313333679166,info
average,0,3,0.1425784962578993,0.5788148958134149,0.2786066077825684,True,none / none / right,[9 9 9 9 9],0.15762979177294723,-0.44278678428874585,-0.714843007338084,info
average,7,3,0.1425784962578993,0.5788148958134149,0.2786066077825684,True,none / all / wrong,[9 9 9 9 9],0.15762979177294723,-0.44278678428874585,-0.714843007338084,info
average,6,7,0.2786066077825684,0.5788148958134148,0.1425784962578993,True,none / all / right,[3 3 3 3 3],0.15762979177294711,-0.7148430073380839,-0.44278678428874574,info
average,1,7,0.2786066077825684,0.5788148958134148,0.1425784962578993,True,none / none / wrong,[3 3 3 3 3],0.15762979177294711,-0.7148430073380839,-0.44278678428874574,info
average,21,7,0.3367036041771404,0.5729200231299358,0.0903763726769687,True,most / most / wrong,[3 3 3 3 3],0.14584004627582675,-0.8192472546301075,-0.3265927916297642,info
average,20,3,0.0903763726769687,0.5729200231299358,0.3367036041771405,True,most / most / right,[9 9 9 9 9],0.14584004627582664,-0.32659279162976407,-0.8192472546301076,info
average,19,7,0.1160814332433625,0.5712508417730652,0.3126677249567199,True,most / some / wrong,[3 3 3 3 3],0.14250168357298276,-0.3746645500597078,-0.7678371334864226,info
average,18,3,0.3126677249567199,0.5712508417730652,0.1160814332433625,True,most / some / right,[9 9 9 9 9],0.14250168357298276,-0.7678371334864226,-0.3746645500597078,info
average,11,15,0.002600755747008,0.078959122961083,0.9184401212788526,False,some / some / wrong,[0 0 0 0 0],-0.8420817540647776,0.8368802425707615,-0.9947984884929275,high
average,19,15,0.0060526188376655,0.1214308667357511,0.8725165144099897,False,most / some / wrong,[0 0 0 0 0],-0.7571382665119041,0.7450330288365731,-0.9878947623080753,high
average,10,12,0.0096215170421594,0.1352563134986824,0.8551221694494922,False,some / some / right,[3 3 0 0 0],-0.7294873729929692,0.7102443389086504,-0.9807569659060151,high
average,13,15,0.0083365692997805,0.1407855748518047,0.8508778558291745,False,some / most / wrong,[0 0 0 0 0],-0.7184288502771503,0.7017557116775893,-0.9833268613811987,high
average,12,14,0.0097975721267217,0.1458088216942359,0.8443936061722742,False,some / most / right,[9 9 0 0 0],-0.70838235660476,0.6887872123513166,-0.9804048557397884,high
average,0,7,0.0037146673099496,0.1616407535182736,0.8346445791310947,False,none / none / right,[3 3 3 3 3],-0.6767184929227708,0.6692891583028715,-0.9925706653394186,high
average,7,7,0.0037146673099496,0.1616407535182736,0.8346445791310947,False,none / all / wrong,[3 3 3 3 3],-0.6767184929227708,0.6692891583028715,-0.9925706653394186,high
average,18,19,0.0076060197508858,0.1577497550396264,0.8346442252021594,False,most / some / right,[3 3 3 0 0],-0.6845004899134188,0.6692884504116472,-0.9847879604909,high
average,9,4,0.006220623466332,0.160503430843285,0.8332759456509571,False,some / none / wrong,[12 12  0  0  0],-0.6789931382740041,0.6665518913413401,-0.9875587530279101,high
average,26,7,0.0036378862736454,0.1783511389255452,0.818010974795844,False,all / some / right,[3 3 3 3 3],-0.6432977221439441,0.6360219495966534,-0.9927242274477438,high
average,14,4,0.0060942245182182,0.1770661479218923,0.8168396275550748,False,some / all / right,[12 12  0  0  0],-0.6458677041514007,0.6336792551149643,-0.987811550958749,high
average,11,12,0.023058073703972,0.1998078292913394,0.7771340969904099,False,some / some / wrong,[3 3 0 0 0],-0.6003843414030425,0.5542681939950985,-0.9538838525777774,high
average,10,1,0.9184401212788526,0.078959122961083,0.002600755747008,False,some / some / right,[12 12 12 12 12],-0.8420817540647776,-0.9947984884929275,0.8368802425707615,low
average,18,1,0.8725165144099897,0.1214308667357511,0.0060526188376655,False,most / some / right,[12 12 12 12 12],-0.7571382665119041,-0.9878947623080753,0.7450330288365731,low
average,11,16,0.8551221694494922,0.1352563134986824,0.0096215170421594,False,some / some / wrong,[12 12 12  9  9],-0.7294873729929692,-0.9807569659060151,0.7102443389086504,low
average,12,1,0.8508778558291745,0.1407855748518047,0.0083365692997805,False,some / most / right,[12 12 12 12 12],-0.7184288502771503,-0.9833268613811987,0.7017557116775893,low
average,13,8,0.8443936061722742,0.1458088216942359,0.0097975721267217,False,some / most / wrong,[12 12 12  3  3],-0.70838235660476,-0.9804048557397884,0.6887872123513166,low
average,1,3,0.8346445791310947,0.1616407535182736,0.0037146673099496,False,none / none / wrong,[9 9 9 9 9],-0.6767184929227708,-0.9925706653394186,0.6692891583028715,low
average,6,3,0.8346445791310947,0.1616407535182736,0.0037146673099496,False,none / all / right,[9 9 9 9 9],-0.6767184929227708,-0.9925706653394186,0.6692891583028715,low
average,19,6,0.8346442252021594,0.1577497550396264,0.0076060197508858,False,most / some / wrong,[12 12  9  9  9],-0.6845004899134188,-0.9847879604909,0.6692884504116472,low
average,8,18,0.8332759456509571,0.160503430843285,0.006220623466332,False,some / none / right,[12 12 12  0  0],-0.6789931382740041,-0.9875587530279101,0.6665518913413401,low
average,27,3,0.8180109747958441,0.1783511389255452,0.0036378862736454,False,all / some / wrong,[9 9 9 9 9],-0.6432977221439442,-0.9927242274477439,0.6360219495966535,low
average,15,18,0.8168396275550748,0.1770661479218923,0.0060942245182182,False,some / all / wrong,[12 12 12  0  0],-0.6458677041514007,-0.987811550958749,0.6336792551149643,low
average,10,16,0.7771340969904099,0.1998078292913395,0.023058073703972,False,some / some / right,[12 12 12  9  9],-0.6003843414030423,-0.9538838525777774,0.5542681939950984,low
